"","","","","","","X.Intercept."
"1","1","30","hn","0.7","p","0.46633082267471"
"2","1","30","hn","0.7","b0","-0.980978552172018"
"3","1","30","hn","0.7","cov1",NA
"4","1","30","hn","0.7","cov2",NA
"5","1","30","hn","0.7","aic","-15.6078400790454"
"6","1","30","hn","0.7","varp","0.0594592279119806"
"7","1","30","hn+cov1","0.7","p","0.431007815865526"
"8","1","30","hn+cov1","0.7","b0","2.05187759858917"
"9","1","30","hn+cov1","0.7","cov1","3.31050951368816"
"10","1","30","hn+cov1","0.7","cov2",NA
"11","1","30","hn+cov1","0.7","aic","-18.0619917913686"
"12","1","30","hn+cov1","0.7","varp","0.0822908573653832"
"13","1","30","hn+cov1+cov2","0.7","p","0.427354873325256"
"14","1","30","hn+cov1+cov2","0.7","b0","1.90498237566287"
"15","1","30","hn+cov1+cov2","0.7","cov1","3.78067567017816"
"16","1","30","hn+cov1+cov2","0.7","cov2","-0.95122052240355"
"17","1","30","hn+cov1+cov2","0.7","aic","-16.3610185655406"
"18","1","30","hn+cov1+cov2","0.7","varp","0.0808266638052981"
"19","2","30","hn","0.7","p","0.51012236505426"
"20","2","30","hn","0.7","b0","-0.883182958712036"
"21","2","30","hn","0.7","cov1",NA
"22","2","30","hn","0.7","cov2",NA
"23","2","30","hn","0.7","aic","-11.5423654545401"
"24","2","30","hn","0.7","varp","0.0551641459210083"
"25","2","30","hn+cov1","0.7","p","0.390095659570714"
"26","2","30","hn+cov1","0.7","b0","2.23606053733203"
"27","2","30","hn+cov1","0.7","cov1","3.65672636455502"
"28","2","30","hn+cov1","0.7","cov2",NA
"29","2","30","hn+cov1","0.7","aic","-23.2045019286237"
"30","2","30","hn+cov1","0.7","varp","0.0437422250318839"
"31","2","30","hn+cov1+cov2","0.7","p","0.364740365501687"
"32","2","30","hn+cov1+cov2","0.7","b0","3.58591802954657"
"33","2","30","hn+cov1+cov2","0.7","cov1","7.36459823305209"
"34","2","30","hn+cov1+cov2","0.7","cov2","-3.548947233869"
"35","2","30","hn+cov1+cov2","0.7","aic","-24.127790073476"
"36","2","30","hn+cov1+cov2","0.7","varp","0.0725205269401378"
"37","3","30","hn","0.7","p","0.34232111304843"
"38","3","30","hn","0.7","b0","-1.29754773976429"
"39","3","30","hn","0.7","cov1",NA
"40","3","30","hn","0.7","cov2",NA
"41","3","30","hn","0.7","aic","-32.4284884994989"
"42","3","30","hn","0.7","varp","0.0540053283830384"
"43","3","30","hn+cov1","0.7","p","0.337559006660824"
"44","3","30","hn+cov1","0.7","b0","-0.781444892064665"
"45","3","30","hn+cov1","0.7","cov1","0.62177333560432"
"46","3","30","hn+cov1","0.7","cov2",NA
"47","3","30","hn+cov1","0.7","aic","-31.024728515588"
"48","3","30","hn+cov1","0.7","varp","0.052745904633234"
"49","3","30","hn+cov1+cov2","0.7","p","0.294224152072002"
"50","3","30","hn+cov1+cov2","0.7","b0","-0.461511037821436"
"51","3","30","hn+cov1+cov2","0.7","cov1","-2.12058705234118"
"52","3","30","hn+cov1+cov2","0.7","cov2","4.9335923844112"
"53","3","30","hn+cov1+cov2","0.7","aic","-34.2703579709268"
"54","3","30","hn+cov1+cov2","0.7","varp","0.0569440426007152"
"55","4","30","hn","0.7","p","0.432454083336931"
"56","4","30","hn","0.7","b0","-1.06016064532409"
"57","4","30","hn","0.7","cov1",NA
"58","4","30","hn","0.7","cov2",NA
"59","4","30","hn","0.7","aic","-19.3713516982104"
