"","","","","","","X.Intercept."
"1","1","30","hn","0.7","p","0.769759050466525"
"2","1","30","hn","0.7","b0","-0.284186429975651"
"3","1","30","hn","0.7","cov1",NA
"4","1","30","hn","0.7","cov2",NA
"5","1","30","hn","0.7","aic","0.177342865686906"
"6","1","30","hn","0.7","varp","0.114353783962221"
"7","1","30","hn+cov1","0.7","p","0.754495828052384"
"8","1","30","hn+cov1","0.7","b0","-0.122428974970673"
"9","1","30","hn+cov1","0.7","cov1","0.7417950995717"
"10","1","30","hn+cov1","0.7","cov2",NA
"11","1","30","hn+cov1","0.7","aic","0.821408290289188"
"12","1","30","hn+cov1","0.7","varp","0.116662360290554"
"13","1","30","hn+cov1+cov2","0.7","p","0.713697782559923"
"14","1","30","hn+cov1+cov2","0.7","b0","-0.46388454637874"
"15","1","30","hn+cov1+cov2","0.7","cov1","-0.268495655109752"
"16","1","30","hn+cov1+cov2","0.7","cov2","2.0818551548658"
"17","1","30","hn+cov1+cov2","0.7","aic","0.865673557946532"
"18","1","30","hn+cov1+cov2","0.7","varp","0.132935837873261"
"19","2","30","hn","0.7","p","0.375210561443143"
"20","2","30","hn","0.7","b0","-1.20520780286053"
"21","2","30","hn","0.7","cov1",NA
"22","2","30","hn","0.7","cov2",NA
"23","2","30","hn","0.7","aic","-27.1206191180162"
"24","2","30","hn","0.7","varp","0.0335513884246083"
"25","2","30","hn+cov1","0.7","p","0.375195755827243"
"26","2","30","hn+cov1","0.7","b0","-1.20521314646517"
"27","2","30","hn+cov1","0.7","cov1","0.00384445460489185"
"28","2","30","hn+cov1","0.7","cov2",NA
"29","2","30","hn+cov1","0.7","aic","-25.1216451756157"
"30","2","30","hn+cov1","0.7","varp","0.0344862679334059"
"31","2","30","hn+cov1+cov2","0.7","p","0.37443198580061"
"32","2","30","hn+cov1+cov2","0.7","b0","-1.33047880397122"
"33","2","30","hn+cov1+cov2","0.7","cov1","-0.211873539700581"
"34","2","30","hn+cov1+cov2","0.7","cov2","0.348849711721479"
"35","2","30","hn+cov1+cov2","0.7","aic","-23.1563693382751"
"36","2","30","hn+cov1+cov2","0.7","varp","0.037609567084855"
"37","3","30","hn","0.7","p","0.55707881979896"
"38","3","30","hn","0.7","b0","-0.781515988277763"
"39","3","30","hn","0.7","cov1",NA
"40","3","30","hn","0.7","cov2",NA
"41","3","30","hn","0.7","aic","-8.05446268972515"
"42","3","30","hn","0.7","varp","0.0890330897399111"
"43","3","30","hn+cov1","0.7","p","0.490026251588081"
"44","3","30","hn+cov1","0.7","b0","-0.679343921330874"
"45","3","30","hn+cov1","0.7","cov1","0.837177929998207"
"46","3","30","hn+cov1","0.7","cov2",NA
"47","3","30","hn+cov1","0.7","aic","-12.5695169553871"
"48","3","30","hn+cov1","0.7","varp","0.0902772500903352"
"49","3","30","hn+cov1+cov2","0.7","p","0.482754320782131"
"50","3","30","hn+cov1+cov2","0.7","b0","-0.60518382796004"
"51","3","30","hn+cov1+cov2","0.7","cov1","1.02467166310414"
"52","3","30","hn+cov1+cov2","0.7","cov2","-0.340158966833257"
"53","3","30","hn+cov1+cov2","0.7","aic","-10.7672854820803"
"54","3","30","hn+cov1+cov2","0.7","varp","0.0880834304916717"
"55","4","30","hn","0.7","p","0.687323073189931"
"56","4","30","hn","0.7","b0","-0.494001196949132"
"57","4","30","hn","0.7","cov1",NA
"58","4","30","hn","0.7","cov2",NA
"59","4","30","hn","0.7","aic","-1.8925834840506"
"60","4","30","hn","0.7","varp","0.102201360056938"
"61","4","30","hn+cov1","0.7","p","0.672002176320524"
"62","4","30","hn+cov1","0.7","b0","-0.538195614837766"
"63","4","30","hn+cov1","0.7","cov1","0.307314659917327"
"64","4","30","hn+cov1","0.7","cov2",NA
"65","4","30","hn+cov1","0.7","aic","-0.891548245601877"
"66","4","30","hn+cov1","0.7","varp","0.0975360017396578"
"67","4","30","hn+cov1+cov2","0.7","p","0.655303229163784"
"68","4","30","hn+cov1+cov2","0.7","b0","-0.188104366604215"
"69","4","30","hn+cov1+cov2","0.7","cov1","1.08060694638714"
"70","4","30","hn+cov1+cov2","0.7","cov2","-0.967590073452195"
"71","4","30","hn+cov1+cov2","0.7","aic","-0.0432707332745812"
"72","4","30","hn+cov1+cov2","0.7","varp","0.0931509871013878"
"73","5","30","hn","0.7","p","0.604061016222833"
"74","5","30","hn","0.7","b0","-0.680337340723939"
"75","5","30","hn","0.7","cov1",NA
"76","5","30","hn","0.7","cov2",NA
"77","5","30","hn","0.7","aic","-5.31432705565015"
"78","5","30","hn","0.7","varp","0.0929219337943912"
"79","5","30","hn+cov1","0.7","p","0.585101830896746"
"80","5","30","hn+cov1","0.7","b0","-0.625513530576471"
"81","5","30","hn+cov1","0.7","cov1","-0.318967089835785"
"82","5","30","hn+cov1","0.7","cov2",NA
"83","5","30","hn+cov1","0.7","aic","-4.81503663241809"
"84","5","30","hn+cov1","0.7","varp","0.0937421699882613"
"85","5","30","hn+cov1+cov2","0.7","p","0.521126564870001"
"86","5","30","hn+cov1+cov2","0.7","b0","-1.46194671924466"
"87","5","30","hn+cov1+cov2","0.7","cov1","-2.50768756997344"
"88","5","30","hn+cov1+cov2","0.7","cov2","3.39237155350681"
"89","5","30","hn+cov1+cov2","0.7","aic","-6.28565076399083"
"90","5","30","hn+cov1+cov2","0.7","varp","0.202072311686299"
"91","6","30","hn","0.7","p","0.590489068942673"
"92","6","30","hn","0.7","b0","-0.70966055391126"
"93","6","30","hn","0.7","cov1",NA
"94","6","30","hn","0.7","cov2",NA
"95","6","30","hn","0.7","aic","-6.03712812224252"
"96","6","30","hn","0.7","varp","0.0815147541696042"
"97","6","30","hn+cov1","0.7","p","0.586069975912689"
"98","6","30","hn+cov1","0.7","b0","-0.706258174465664"
"99","6","30","hn+cov1","0.7","cov1","-0.160551198554463"
"100","6","30","hn+cov1","0.7","cov2",NA
"101","6","30","hn+cov1","0.7","aic","-4.45201690905226"
"102","6","30","hn+cov1","0.7","varp","0.081916448751761"
"103","6","30","hn+cov1+cov2","0.7","p","0.572378157406425"
"104","6","30","hn+cov1+cov2","0.7","b0","-0.0664668766718104"
"105","6","30","hn+cov1+cov2","0.7","cov1","0.411590860619929"
"106","6","30","hn+cov1+cov2","0.7","cov2","-1.27197461247706"
"107","6","30","hn+cov1+cov2","0.7","aic","-4.36891759040158"
"108","6","30","hn+cov1+cov2","0.7","varp","0.111400440222428"
"109","7","30","hn","0.7","p","0.451265392910804"
"110","7","30","hn","0.7","b0","-1.01571772743723"
"111","7","30","hn","0.7","cov1",NA
"112","7","30","hn","0.7","cov2",NA
"113","7","30","hn","0.7","aic","-17.2106743131225"
"114","7","30","hn","0.7","varp","0.0485386531467886"
"115","7","30","hn+cov1","0.7","p","0.44917610087962"
"116","7","30","hn+cov1","0.7","b0","-1.02020549414531"
"117","7","30","hn+cov1","0.7","cov1","0.0842850831065853"
"118","7","30","hn+cov1","0.7","cov2",NA
"119","7","30","hn+cov1","0.7","aic","-15.4467259440718"
"120","7","30","hn+cov1","0.7","varp","0.049403265117958"
"121","7","30","hn+cov1+cov2","0.7","p","0.443762181488545"
"122","7","30","hn+cov1+cov2","0.7","b0","-1.13727293811507"
"123","7","30","hn+cov1+cov2","0.7","cov1","-0.145208845714523"
"124","7","30","hn+cov1+cov2","0.7","cov2","0.275740720834429"
"125","7","30","hn+cov1+cov2","0.7","aic","-14.0615584535769"
"126","7","30","hn+cov1+cov2","0.7","varp","0.0522363011561364"
"127","8","30","hn","0.7","p","0.567743194780283"
"128","8","30","hn","0.7","b0","-0.758597390309432"
"129","8","30","hn","0.7","cov1",NA
"130","8","30","hn","0.7","cov2",NA
"131","8","30","hn","0.7","aic","-7.37191497588748"
"132","8","30","hn","0.7","varp","0.0664453964001754"
"133","8","30","hn+cov1","0.7","p","0.567745260174299"
"134","8","30","hn+cov1","0.7","b0","-0.754958743953631"
"135","8","30","hn+cov1","0.7","cov1","-0.0158391922340128"
"136","8","30","hn+cov1","0.7","cov2",NA
"137","8","30","hn+cov1","0.7","aic","-5.37618370626591"
"138","8","30","hn+cov1","0.7","varp","0.0682462948903984"
"139","8","30","hn+cov1+cov2","0.7","p","0.568355181502426"
"140","8","30","hn+cov1+cov2","0.7","b0","-0.901395819789939"
"141","8","30","hn+cov1+cov2","0.7","cov1","-0.270625416782183"
"142","8","30","hn+cov1+cov2","0.7","cov2","0.398958250330701"
"143","8","30","hn+cov1+cov2","0.7","aic","-3.43008604764345"
"144","8","30","hn+cov1+cov2","0.7","varp","0.0718552905912439"
"145","9","30","hn","0.7","p","0.964775444351974"
"146","9","30","hn","0.7","b0","0.761017172538501"
"147","9","30","hn","0.7","cov1",NA
"148","9","30","hn","0.7","cov2",NA
"149","9","30","hn","0.7","aic","1.96868665130308"
"150","9","30","hn","0.7","varp","0.190942688372804"
"151","9","30","hn+cov1","0.7","p","0.962829448895317"
"152","9","30","hn+cov1","0.7","b0","0.794860969760491"
"153","9","30","hn+cov1","0.7","cov1","-0.179974646508647"
"154","9","30","hn+cov1","0.7","cov2",NA
"155","9","30","hn+cov1","0.7","aic","3.96241928090455"
"156","9","30","hn+cov1","0.7","varp","0.191353494145674"
"157","9","30","hn+cov1+cov2","0.7","p",NA
"158","9","30","hn+cov1+cov2","0.7","b0",NA
"159","9","30","hn+cov1+cov2","0.7","cov1",NA
"160","9","30","hn+cov1+cov2","0.7","cov2",NA
"161","9","30","hn+cov1+cov2","0.7","aic",NA
"162","9","30","hn+cov1+cov2","0.7","varp",NA
"163","10","30","hn","0.7","p","0.605415728464454"
"164","10","30","hn","0.7","b0","-0.677402298577736"
"165","10","30","hn","0.7","cov1",NA
"166","10","30","hn","0.7","cov2",NA
"167","10","30","hn","0.7","aic","-5.24504346935258"
"168","10","30","hn","0.7","varp","0.088713192569582"
"169","10","30","hn+cov1","0.7","p","0.572777848021773"
"170","10","30","hn+cov1","0.7","b0","-0.655572209171486"
"171","10","30","hn+cov1","0.7","cov1","0.504864776457979"
"172","10","30","hn+cov1","0.7","cov2",NA
"173","10","30","hn+cov1","0.7","aic","-6.1221519953063"
"174","10","30","hn+cov1","0.7","varp","0.0928777274369881"
"175","10","30","hn+cov1+cov2","0.7","p","0.567397673189675"
"176","10","30","hn+cov1+cov2","0.7","b0","-0.534225097129897"
"177","10","30","hn+cov1+cov2","0.7","cov1","0.785976581014228"
"178","10","30","hn+cov1+cov2","0.7","cov2","-0.414883177392506"
"179","10","30","hn+cov1+cov2","0.7","aic","-4.4808064847056"
"180","10","30","hn+cov1+cov2","0.7","varp","0.0951471515335159"
"181","11","30","hn","0.7","p","0.574496749639988"
"182","11","30","hn","0.7","b0","-0.744082492228202"
"183","11","30","hn","0.7","cov1",NA
"184","11","30","hn","0.7","cov2",NA
"185","11","30","hn","0.7","aic","-6.95880819695549"
"186","11","30","hn","0.7","varp","0.0971931895025338"
"187","11","30","hn+cov1","0.7","p","0.56685857507451"
"188","11","30","hn+cov1","0.7","b0","-0.742859023041648"
"189","11","30","hn+cov1","0.7","cov1","-0.227172885418594"
"190","11","30","hn+cov1","0.7","cov2",NA
"191","11","30","hn+cov1","0.7","aic","-5.75739612663929"
"192","11","30","hn+cov1","0.7","varp","0.0962009270734118"
"193","11","30","hn+cov1+cov2","0.7","p","0.547774954915487"
"194","11","30","hn+cov1+cov2","0.7","b0","1.69048454920004"
