"","","","","","","X.Intercept."
"1","1","30","hn","0.7","p","0.819801463015633"
"2","1","30","hn","0.7","b0","-0.131123256545848"
"3","1","30","hn","0.7","cov1",NA
"4","1","30","hn","0.7","cov2",NA
"5","1","30","hn","0.7","aic","0.973736009123957"
"6","1","30","hn","0.7","varp","0.15894053936333"
"7","1","30","hn+cov1","0.7","p","0.831850031535069"
"8","1","30","hn+cov1","0.7","b0","0.52423398773556"
"9","1","30","hn+cov1","0.7","cov1","-1.21262463645167"
"10","1","30","hn+cov1","0.7","cov2",NA
"11","1","30","hn+cov1","0.7","aic","2.65729623615567"
"12","1","30","hn+cov1","0.7","varp","0.198761283341016"
"13","1","30","hn+cov1+cov2","0.7","p","0.844951872723535"
"14","1","30","hn+cov1+cov2","0.7","b0","-0.765407498592934"
"15","1","30","hn+cov1+cov2","0.7","cov1","0.184792464872771"
"16","1","30","hn+cov1+cov2","0.7","cov2","1.37771247307028"
"17","1","30","hn+cov1+cov2","0.7","aic","4.72051601999185"
"18","1","30","hn+cov1+cov2","0.7","varp","0.183612209909818"
"19","2","30","hn","0.7","p","0.792914428708864"
"20","2","30","hn","0.7","b0","-0.216743730084069"
"21","2","30","hn","0.7","cov1",NA
"22","2","30","hn","0.7","cov2",NA
"23","2","30","hn","0.7","aic","0.582472696133192"
"24","2","30","hn","0.7","varp","0.135754900414995"
"25","2","30","hn+cov1","0.7","p","0.737254228192845"
"26","2","30","hn+cov1","0.7","b0","3.94422139353303"
"27","2","30","hn+cov1","0.7","cov1","-5.00653212277598"
"28","2","30","hn+cov1","0.7","cov2",NA
"29","2","30","hn+cov1","0.7","aic","-0.745130201675559"
"30","2","30","hn+cov1","0.7","varp","0.115210648799054"
"31","2","30","hn+cov1+cov2","0.7","p","0.691500777014926"
"32","2","30","hn+cov1+cov2","0.7","b0","5.76189668503321"
"33","2","30","hn+cov1+cov2","0.7","cov1","-4.58033196716057"
"34","2","30","hn+cov1+cov2","0.7","cov2","-2.01460962302617"
"35","2","30","hn+cov1+cov2","0.7","aic","-1.10155623826024"
"36","2","30","hn+cov1+cov2","0.7","varp","0.163115498733031"
"37","3","30","hn","0.7","p","0.999941474057052"
"38","3","30","hn","0.7","b0","9.77195370937808"
"39","3","30","hn","0.7","cov1",NA
"40","3","30","hn","0.7","cov2",NA
"41","3","30","hn","0.7","aic","2.00000000212724"
"42","3","30","hn","0.7","varp","3.31640717942292"
"43","3","30","hn+cov1","0.7","p","0.937924312130037"
"44","3","30","hn+cov1","0.7","b0","2.28909198607244"
"45","3","30","hn+cov1","0.7","cov1","-2.48613497585821"
"46","3","30","hn+cov1","0.7","cov2",NA
