"","","","","","","X.Intercept."
"1","1","30","hn","999","p","0.368351455150514"
"2","1","30","hn","999","b0","-1.22382954079997"
"3","1","30","hn","999","cov1",NA
"4","1","30","hn","999","cov2",NA
"5","1","30","hn","999","aic","-28.1741075594357"
"6","1","30","hn","999","varp","0.0445379698849775"
"7","1","30","hn+cov1","999","p","0.226430594306218"
"8","1","30","hn+cov1","999","b0","0.00963280002181184"
"9","1","30","hn+cov1","999","cov1","-0.859775846989578"
"10","1","30","hn+cov1","999","cov2",NA
"11","1","30","hn+cov1","999","aic","-39.7505969858096"
"12","1","30","hn+cov1","999","varp","0.0523422076010296"
"13","1","30","hn+cov1+cov2","999","p","0.216895940247965"
"14","1","30","hn+cov1+cov2","999","b0","0.0889268428456101"
"15","1","30","hn+cov1+cov2","999","cov1","-1.6548235053486"
"16","1","30","hn+cov1+cov2","999","cov2","0.680885176098354"
"17","1","30","hn+cov1+cov2","999","aic","-39.0122060667591"
"18","1","30","hn+cov1+cov2","999","varp","0.0842497877732458"
"19","2","30","hn","999","p","0.457373072134332"
"20","2","30","hn","999","b0","-1.00155184044098"
"21","2","30","hn","999","cov1",NA
"22","2","30","hn","999","cov2",NA
"23","2","30","hn","999","aic","-16.5475813690512"
"24","2","30","hn","999","varp","0.0769438731611939"
"25","2","30","hn+cov1","999","p","0.237857820695334"
"26","2","30","hn+cov1","999","b0","0.210024771591165"
"27","2","30","hn+cov1","999","cov1","-0.888070828133557"
"28","2","30","hn+cov1","999","cov2",NA
"29","2","30","hn+cov1","999","aic","-32.143489510056"
"30","2","30","hn+cov1","999","varp","0.0719985077735413"
"31","2","30","hn+cov1+cov2","999","p","0.232274964688674"
"32","2","30","hn+cov1+cov2","999","b0","0.228035992109401"
"33","2","30","hn+cov1+cov2","999","cov1","-0.280968937471839"
"34","2","30","hn+cov1+cov2","999","cov2","-0.670074256700995"
"35","2","30","hn+cov1+cov2","999","aic","-31.1281177658322"
"36","2","30","hn+cov1+cov2","999","varp","0.0798913378310676"
"37","3","30","hn","999","p","0.335630815798623"
"38","3","30","hn","999","b0","-1.31734863862808"
"39","3","30","hn","999","cov1",NA
"40","3","30","hn","999","cov2",NA
"41","3","30","hn","999","aic","-33.5887964301209"
"42","3","30","hn","999","varp","0.0310085447487664"
"43","3","30","hn+cov1","999","p","0.141221198753429"
"44","3","30","hn+cov1","999","b0","-0.088501176110986"
"45","3","30","hn+cov1","999","cov1","-0.91232652120075"
"46","3","30","hn+cov1","999","cov2",NA
"47","3","30","hn+cov1","999","aic","-61.7350663801761"
"48","3","30","hn+cov1","999","varp","0.0419061650747606"
"49","3","30","hn+cov1+cov2","999","p","0.141669861292277"
"50","3","30","hn+cov1+cov2","999","b0","-0.0765382237634865"
"51","3","30","hn+cov1+cov2","999","cov1","-0.573032957737469"
"52","3","30","hn+cov1+cov2","999","cov2","-0.386551616932833"
"53","3","30","hn+cov1+cov2","999","aic","-60.150152981234"
"54","3","30","hn+cov1+cov2","999","varp","0.0440408266181352"
"55","4","30","hn","999","p","0.388948807390758"
"56","4","30","hn","999","b0","-1.1688076521004"
"57","4","30","hn","999","cov1",NA
"58","4","30","hn","999","cov2",NA
"59","4","30","hn","999","aic","-25.0933037309758"
"60","4","30","hn","999","varp","0.0379138616746359"
"61","4","30","hn+cov1","999","p","0.266886190434616"
"62","4","30","hn+cov1","999","b0","-0.410794339031777"
"63","4","30","hn+cov1","999","cov1","-0.599945798683238"
"64","4","30","hn+cov1","999","cov2",NA
"65","4","30","hn+cov1","999","aic","-36.0661502012945"
"66","4","30","hn+cov1","999","varp","0.0645097388379292"
"67","4","30","hn+cov1+cov2","999","p","0.26673705565769"
"68","4","30","hn+cov1+cov2","999","b0","-0.412548997539532"
"69","4","30","hn+cov1+cov2","999","cov1","-0.5857761880821"
"70","4","30","hn+cov1+cov2","999","cov2","-0.0199593682897932"
"71","4","30","hn+cov1+cov2","999","aic","-34.0675379527334"
"72","4","30","hn+cov1+cov2","999","varp","0.0730951632935607"
"73","5","30","hn","999","p","0.361819604508807"
"74","5","30","hn","999","b0","-1.24185938500097"
"75","5","30","hn","999","cov1",NA
"76","5","30","hn","999","cov2",NA
"77","5","30","hn","999","aic","-29.2032473925122"
"78","5","30","hn","999","varp","0.041684690105993"
"79","5","30","hn+cov1","999","p","0.336213047712093"
"80","5","30","hn+cov1","999","b0","-0.949505829591938"
"81","5","30","hn+cov1","999","cov1","-0.226667322643974"
"82","5","30","hn+cov1","999","cov2",NA
"83","5","30","hn+cov1","999","aic","-30.3163317488345"
"84","5","30","hn+cov1","999","varp","0.0410706786227715"
"85","5","30","hn+cov1+cov2","999","p","0.335664252644518"
"86","5","30","hn+cov1+cov2","999","b0","-0.942833782429433"
"87","5","30","hn+cov1+cov2","999","cov1","-0.302610928807403"
"88","5","30","hn+cov1+cov2","999","cov2","0.0800221146639107"
"89","5","30","hn+cov1+cov2","999","aic","-28.351499776619"
"90","5","30","hn+cov1+cov2","999","varp","0.0442932669293929"
"91","6","30","hn","999","p","0.306261612531621"
"92","6","30","hn","999","b0","-1.40905971006264"
"93","6","30","hn","999","cov1",NA
"94","6","30","hn","999","cov2",NA
"95","6","30","hn","999","aic","-39.021303526515"
"96","6","30","hn","999","varp","0.0325360990953107"
"97","6","30","hn+cov1","999","p","0.186964475720581"
"98","6","30","hn+cov1","999","b0","-0.310363580198517"
"99","6","30","hn+cov1","999","cov1","-0.680227130581325"
"100","6","30","hn+cov1","999","cov2",NA
"101","6","30","hn+cov1","999","aic","-52.5719925707114"
"102","6","30","hn+cov1","999","varp","0.056551544391186"
"103","6","30","hn+cov1+cov2","999","p","0.16762726463809"
"104","6","30","hn+cov1+cov2","999","b0","-0.190013217513733"
"105","6","30","hn+cov1+cov2","999","cov1","-0.173147298430933"
"106","6","30","hn+cov1+cov2","999","cov2","-0.700405428244841"
"107","6","30","hn+cov1+cov2","999","aic","-52.909474410362"
"108","6","30","hn+cov1+cov2","999","varp","0.0612311770618845"
"109","7","30","hn","999","p","0.35698298776949"
"110","7","30","hn","999","b0","-1.25540532286846"
"111","7","30","hn","999","cov1",NA
"112","7","30","hn","999","cov2",NA
"113","7","30","hn","999","aic","-29.9817659453263"
"114","7","30","hn","999","varp","0.029090804780879"
"115","7","30","hn+cov1","999","p","0.13538640545386"
"116","7","30","hn+cov1","999","b0","-0.475284177509481"
"117","7","30","hn+cov1","999","cov1","-0.905575720846074"
"118","7","30","hn+cov1","999","cov2",NA
"119","7","30","hn+cov1","999","aic","-58.8213687518385"
"120","7","30","hn+cov1","999","varp","0.0454491037234683"
"121","7","30","hn+cov1+cov2","999","p","0.13426594694582"
"122","7","30","hn+cov1+cov2","999","b0","-0.457389202937633"
"123","7","30","hn+cov1+cov2","999","cov1","-1.13077399922754"
"124","7","30","hn+cov1+cov2","999","cov2","0.197746944963618"
"125","7","30","hn+cov1+cov2","999","aic","-56.9275161309734"
"126","7","30","hn+cov1+cov2","999","varp","0.046113081768478"
"127","8","30","hn","999","p","0.498064338523817"
"128","8","30","hn","999","b0","-0.909719393309906"
"129","8","30","hn","999","cov1",NA
"130","8","30","hn","999","cov2",NA
"131","8","30","hn","999","aic","-12.5777630326319"
"132","8","30","hn","999","varp","0.0543612711948147"
"133","8","30","hn+cov1","999","p","0.486339902399861"
"134","8","30","hn+cov1","999","b0","-1.16340979973433"
"135","8","30","hn+cov1","999","cov1","0.183879104360384"
"136","8","30","hn+cov1","999","cov2",NA
"137","8","30","hn+cov1","999","aic","-11.8699152330391"
"138","8","30","hn+cov1","999","varp","0.070140166832302"
"139","8","30","hn+cov1+cov2","999","p","0.479955091444853"
"140","8","30","hn+cov1+cov2","999","b0","-1.2102629715602"
"141","8","30","hn+cov1+cov2","999","cov1","0.68134194802595"
"142","8","30","hn+cov1+cov2","999","cov2","-0.464814455678259"
"143","8","30","hn+cov1+cov2","999","aic","-10.4628282287907"
"144","8","30","hn+cov1+cov2","999","varp","0.0702667416662156"
"145","9","30","hn","999","p","0.331174699129486"
"146","9","30","hn","999","b0","-1.33074785064792"
"147","9","30","hn","999","cov1",NA
"148","9","30","hn","999","cov2",NA
"149","9","30","hn","999","aic","-34.3771273696331"
"150","9","30","hn","999","varp","0.0259116828152434"
"151","9","30","hn+cov1","999","p","0.152563681704362"
"152","9","30","hn+cov1","999","b0","-0.0925184820472069"
"153","9","30","hn+cov1","999","cov1","-0.806843782221141"
"154","9","30","hn+cov1","999","cov2",NA
"155","9","30","hn+cov1","999","aic","-61.8249183281089"
"156","9","30","hn+cov1","999","varp","0.0362023989950221"
