"","","","","","","X.Intercept."
"1","1","1000","hn","0.7","p","0.515960023548247"
"2","1","1000","hn","0.7","n","76"
"3","1","1000","hn","0.7","b0","-0.97577911779131"
"4","1","1000","hn","0.7","cov1",NA
"5","1","1000","hn","0.7","cov2",NA
"6","1","1000","hn","0.7","aic","-47.1070539188548"
"7","1","1000","hn","0.7","varp","0.0452548025336012"
"8","1","1000","hn+cov1","0.7","p","0.474791568171573"
"9","1","1000","hn+cov1","0.7","n","76"
"10","1","1000","hn+cov1","0.7","b0","-1.79976558254903"
"11","1","1000","hn+cov1","0.7","cov1","0.126895758743312"
"12","1","1000","hn+cov1","0.7","cov2",NA
"13","1","1000","hn+cov1","0.7","aic","-55.1902343327159"
"14","1","1000","hn+cov1","0.7","varp","0.0417548490386042"
"15","1","1000","hn+cov1+cov2","0.7","p","0.465606068861743"
"16","1","1000","hn+cov1+cov2","0.7","n","76"
"17","1","1000","hn+cov1+cov2","0.7","b0","-2.00263626909978"
"18","1","1000","hn+cov1+cov2","0.7","cov1","0.0918920427808158"
"19","1","1000","hn+cov1+cov2","0.7","cov2","0.0590771431536704"
"20","1","1000","hn+cov1+cov2","0.7","aic","-55.0363342933865"
"21","1","1000","hn+cov1+cov2","0.7","varp","0.0462165346699627"
"22","2","1000","hn","0.7","p","0.541921839051877"
"23","2","1000","hn","0.7","n","80"
"24","2","1000","hn","0.7","b0","-0.919500883702718"
"25","2","1000","hn","0.7","cov1",NA
"26","2","1000","hn","0.7","cov2",NA
"27","2","1000","hn","0.7","aic","-44.4341373126592"
"28","2","1000","hn","0.7","varp","0.0511676699641493"
"29","2","1000","hn+cov1","0.7","p","0.529344910389695"
"30","2","1000","hn+cov1","0.7","n","80"
"31","2","1000","hn+cov1","0.7","b0","-1.37321744980687"
"32","2","1000","hn+cov1","0.7","cov1","0.0742167734395708"
"33","2","1000","hn+cov1","0.7","cov2",NA
"34","2","1000","hn+cov1","0.7","aic","-45.9821082177575"
"35","2","1000","hn+cov1","0.7","varp","0.0489268556677423"
"36","2","1000","hn+cov1+cov2","0.7","p","0.528190830081066"
"37","2","1000","hn+cov1+cov2","0.7","n","80"
"38","2","1000","hn+cov1+cov2","0.7","b0","-1.31834775476401"
"39","2","1000","hn+cov1+cov2","0.7","cov1","0.101022769035251"
"40","2","1000","hn+cov1+cov2","0.7","cov2","-0.0321932261289345"
"41","2","1000","hn+cov1+cov2","0.7","aic","-44.2735644145876"
"42","2","1000","hn+cov1+cov2","0.7","varp","0.0486776253451219"
"43","3","1000","hn","0.7","p","0.603099738939485"
"44","3","1000","hn","0.7","n","89"
"45","3","1000","hn","0.7","b0","-0.787779482943292"
"46","3","1000","hn","0.7","cov1",NA
"47","3","1000","hn","0.7","cov2",NA
"48","3","1000","hn","0.7","aic","-38.6001071611652"
"49","3","1000","hn","0.7","varp","0.0515302924629316"
"50","3","1000","hn+cov1","0.7","p","0.560275848382051"
"51","3","1000","hn+cov1","0.7","n","89"
"52","3","1000","hn+cov1","0.7","b0","-1.71272217851937"
"53","3","1000","hn+cov1","0.7","cov1","0.154926256161187"
"54","3","1000","hn+cov1","0.7","cov2",NA
"55","3","1000","hn+cov1","0.7","aic","-48.2304604559838"
"56","3","1000","hn+cov1","0.7","varp","0.050525308848025"
"57","3","1000","hn+cov1+cov2","0.7","p","0.55312503608716"
"58","3","1000","hn+cov1+cov2","0.7","n","89"
"59","3","1000","hn+cov1+cov2","0.7","b0","-1.82959008389226"
