"","","","","","","X.Intercept."
"1","1","30","hn","0.7","p","0.722687408102295"
"2","1","30","hn","0.7","b0","-0.408493398615334"
"3","1","30","hn","0.7","cov1",NA
"4","1","30","hn","0.7","cov2",NA
"5","1","30","hn","0.7","aic","-0.871371477459159"
"6","1","30","hn","0.7","varp","0.122364276186617"
"7","1","30","hn+cov1","0.7","p","0.70975579006109"
"8","1","30","hn+cov1","0.7","b0","-0.465410411095773"
"9","1","30","hn+cov1","0.7","cov1","0.28234057411222"
"10","1","30","hn+cov1","0.7","cov2",NA
"11","1","30","hn+cov1","0.7","aic","0.425660117636435"
"12","1","30","hn+cov1","0.7","varp","0.120775474987338"
"13","1","30","hn+cov1+cov2","0.7","p","0.654208640148143"
"14","1","30","hn+cov1+cov2","0.7","b0","-1.03017150501941"
"15","1","30","hn+cov1+cov2","0.7","cov1","-0.654733280692272"
"16","1","30","hn+cov1+cov2","0.7","cov2","1.81973283201302"
"17","1","30","hn+cov1+cov2","0.7","aic","-1.28206973032389"
"18","1","30","hn+cov1+cov2","0.7","varp","0.172319054297487"
"19","2","30","hn","0.7","p","0.660065772123896"
"20","2","30","hn","0.7","b0","-0.556754282083432"
"21","2","30","hn","0.7","cov1",NA
"22","2","30","hn","0.7","cov2",NA
"23","2","30","hn","0.7","aic","-2.84046483273758"
"24","2","30","hn","0.7","varp","0.10423703691729"
"25","2","30","hn+cov1","0.7","p","0.641338632552287"
"26","2","30","hn+cov1","0.7","b0","-0.606382674869592"
"27","2","30","hn+cov1","0.7","cov1","0.521318023648002"
"28","2","30","hn+cov1","0.7","cov2",NA
"29","2","30","hn+cov1","0.7","aic","-2.69595410108106"
"30","2","30","hn+cov1","0.7","varp","0.112821770241403"
"31","2","30","hn+cov1+cov2","0.7","p","0.639640149283526"
"32","2","30","hn+cov1+cov2","0.7","b0","-0.560971979870291"
"33","2","30","hn+cov1+cov2","0.7","cov1","0.620462628956481"
"34","2","30","hn+cov1+cov2","0.7","cov2","-0.150344320614915"
"35","2","30","hn+cov1+cov2","0.7","aic","-0.713494498905558"
"36","2","30","hn+cov1+cov2","0.7","varp","0.113903220562754"
"37","1","30","hn","0.8","p","0.600073500206097"
"38","1","30","hn","0.8","b0","-0.688966998639427"
"39","1","30","hn","0.8","cov1",NA
"40","1","30","hn","0.8","cov2",NA
"41","1","30","hn","0.8","aic","-5.52123226982567"
"42","1","30","hn","0.8","varp","0.0945530933346016"
