"","V1","V2","V3","V4","V5"
"1","1","30","hn","0.884084756264562","0.444025228044148"
"2","1","30","hn+cov1","0.504756804915756","0.0956377881327668"
"3","1","30","hr","1.53174703075096","1.41896208083073"
"4","1","30","hr+cov1","0.589052236474778","0.0850056393482764"
"5","2","30","hn","0.444811040832085","0.0655221231384316"
"6","2","30","hn+cov1","0.439973610763972","0.0789824832450725"
"7","2","30","hr","0.505015209527048","0.0804773002077637"
"8","2","30","hr+cov1","0.515459639775774","0.0761429100243345"
"9","3","30","hn","0.440393614202257","0.068877659352369"
"10","3","30","hn+cov1","0.438889071134159","0.0752429377917526"
"11","3","30","hr","1.07796519184381","1.02882322836447"
"12","3","30","hr+cov1","0.500186931927782","0.0814196297160714"
"13","4","30","hn","0.519400207114422","0.0880097045362615"
"14","4","30","hn+cov1","0.505281758623028","0.0872651186171311"
"15","4","30","hr","0.738810580278662","0.0452624324894099"
"16","4","30","hr+cov1","0.705341982446388","0.0514568647445354"
"17","5","30","hn","0.582654398172625","0.0815922353102762"
"18","5","30","hn+cov1","0.536396265706657","0.0797569572997768"
"19","5","30","hr","0.562460855880753","0.135616985584332"
"20","5","30","hr+cov1","0.510846476893822","0.122436957535476"
"21","6","30","hn","0.380326519654527","0.0519236316194262"
"22","6","30","hn+cov1","0.340007989256632","0.0689636426922774"
"23","6","30","hr","0.451481996653805","0.0620371326259675"
"24","6","30","hr+cov1",NA,NA
"25","7","30","hn","0.569105060886382","0.0722101448944084"
"26","7","30","hn+cov1","0.559730970662247","0.0724498089314313"
"27","7","30","hr","0.481852099850635","0.13425355934389"
"28","7","30","hr+cov1","0.51770548121669","0.125624142944909"
"29","8","30","hn","0.518899161521047","0.0763885458731299"
"30","8","30","hn+cov1","0.478810812263236","0.0893032662942038"
"31","8","30","hr","0.587306780473833","0.0864682709803782"
"32","8","30","hr+cov1","0.617663684629121","0.0643800775462874"
"33","9","30","hn","0.450286876981377","0.0632503028966082"
"34","9","30","hn+cov1","0.448012533325416","0.0644213546999449"
"35","9","30","hr","0.473351286455903","0.087437491057185"
"36","9","30","hr+cov1","0.491492246961222","0.0847091835485381"
"37","10","30","hn","0.424776149092737","0.0476033239103896"
"38","10","30","hn+cov1","0.415979035813962","0.0590415083794366"
"39","10","30","hr","0.44204618302569","0.0735076262289825"
"40","10","30","hr+cov1","0.453183400076262","0.0716970507401757"
"41","11","30","hn","0.371243698007258","0.0476863986199355"
"42","11","30","hn+cov1","0.319750493929707","0.0682468996104057"
"43","11","30","hr","0.441622677850278","0.0587329678728535"
"44","11","30","hr+cov1","0.397150761740811","0.0541371185282523"
"45","12","30","hn","0.484968638255434","0.0649221580604265"
"46","12","30","hn+cov1","0.421109881228396","0.0644977357959717"
"47","12","30","hr","0.468541605684837","0.103674255724683"
"48","12","30","hr+cov1","0.487068697677664","0.0715813837176286"
